feature_path,label,label_idx
C:\SoundModel\data\gtzan\features\metal_metal.00069_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\reggae_reggae.00066_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\blues_blues.00035_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\metal_metal.00097_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\blues_blues.00088_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\disco_disco.00003_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\classical_classical.00080_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\classical_classical.00071_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\jazz_jazz.00018_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\classical_classical.00005_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\classical_classical.00008_chunk1.npy,classical,1
C:\SoundModel\data\gtzan\features\metal_metal.00046_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\metal_metal.00054_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\classical_classical.00074_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00059_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\reggae_reggae.00061_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\pop_pop.00093_chunk2.npy,pop,7
C:\SoundModel\data\gtzan\features\blues_blues.00069_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\pop_pop.00084_chunk0.npy,pop,7
C:\SoundModel\data\gtzan\features\metal_metal.00033_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\classical_classical.00037_chunk1.npy,classical,1
C:\SoundModel\data\gtzan\features\country_country.00067_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\jazz_jazz.00057_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\metal_metal.00097_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00029_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\reggae_reggae.00060_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\rock_rock.00066_chunk1.npy,rock,9
C:\SoundModel\data\gtzan\features\disco_disco.00021_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\metal_metal.00040_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00047_chunk1.npy,hiphop,4
C:\SoundModel\data\gtzan\features\pop_pop.00067_chunk0.npy,pop,7
C:\SoundModel\data\gtzan\features\rock_rock.00084_chunk0.npy,rock,9
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00023_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\pop_pop.00019_chunk2.npy,pop,7
C:\SoundModel\data\gtzan\features\classical_classical.00049_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00013_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\pop_pop.00096_chunk2.npy,pop,7
C:\SoundModel\data\gtzan\features\disco_disco.00092_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\reggae_reggae.00034_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\blues_blues.00085_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\jazz_jazz.00040_chunk0.npy,jazz,5
C:\SoundModel\data\gtzan\features\reggae_reggae.00029_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\metal_metal.00095_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00077_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\pop_pop.00023_chunk0.npy,pop,7
C:\SoundModel\data\gtzan\features\reggae_reggae.00019_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\metal_metal.00083_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00044_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\country_country.00055_chunk0.npy,country,2
C:\SoundModel\data\gtzan\features\jazz_jazz.00006_chunk2.npy,jazz,5
C:\SoundModel\data\gtzan\features\reggae_reggae.00020_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\rock_rock.00005_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\disco_disco.00030_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\pop_pop.00092_chunk2.npy,pop,7
C:\SoundModel\data\gtzan\features\classical_classical.00058_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\pop_pop.00090_chunk0.npy,pop,7
C:\SoundModel\data\gtzan\features\jazz_jazz.00040_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\reggae_reggae.00014_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\blues_blues.00003_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\disco_disco.00012_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00041_chunk0.npy,hiphop,4
C:\SoundModel\data\gtzan\features\country_country.00020_chunk0.npy,country,2
C:\SoundModel\data\gtzan\features\rock_rock.00044_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\rock_rock.00091_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\reggae_reggae.00062_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\disco_disco.00076_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\pop_pop.00095_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\country_country.00026_chunk2.npy,country,2
C:\SoundModel\data\gtzan\features\blues_blues.00057_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\pop_pop.00045_chunk2.npy,pop,7
C:\SoundModel\data\gtzan\features\rock_rock.00056_chunk2.npy,rock,9
C:\SoundModel\data\gtzan\features\metal_metal.00078_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\blues_blues.00050_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\jazz_jazz.00039_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\classical_classical.00016_chunk0.npy,classical,1
C:\SoundModel\data\gtzan\features\disco_disco.00072_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\reggae_reggae.00018_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\metal_metal.00087_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\disco_disco.00070_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\disco_disco.00087_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\blues_blues.00010_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\disco_disco.00095_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\blues_blues.00031_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\blues_blues.00025_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\classical_classical.00095_chunk1.npy,classical,1
C:\SoundModel\data\gtzan\features\metal_metal.00055_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\country_country.00057_chunk1.npy,country,2
C:\SoundModel\data\gtzan\features\reggae_reggae.00042_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\country_country.00038_chunk0.npy,country,2
C:\SoundModel\data\gtzan\features\pop_pop.00011_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\hiphop_hiphop.00089_chunk2.npy,hiphop,4
C:\SoundModel\data\gtzan\features\reggae_reggae.00081_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\disco_disco.00063_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\metal_metal.00092_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\reggae_reggae.00050_chunk2.npy,reggae,8
C:\SoundModel\data\gtzan\features\metal_metal.00023_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\reggae_reggae.00081_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\metal_metal.00015_chunk2.npy,metal,6
C:\SoundModel\data\gtzan\features\rock_rock.00051_chunk1.npy,rock,9
C:\SoundModel\data\gtzan\features\disco_disco.00035_chunk2.npy,disco,3
C:\SoundModel\data\gtzan\features\blues_blues.00043_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\jazz_jazz.00036_chunk1.npy,jazz,5
C:\SoundModel\data\gtzan\features\classical_classical.00074_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\pop_pop.00037_chunk1.npy,pop,7
C:\SoundModel\data\gtzan\features\reggae_reggae.00063_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\metal_metal.00046_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\blues_blues.00049_chunk1.npy,blues,0
C:\SoundModel\data\gtzan\features\metal_metal.00013_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\reggae_reggae.00085_chunk1.npy,reggae,8
C:\SoundModel\data\gtzan\features\blues_blues.00022_chunk2.npy,blues,0
C:\SoundModel\data\gtzan\features\blues_blues.00023_chunk0.npy,blues,0
C:\SoundModel\data\gtzan\features\jazz_jazz.00049_chunk2.npy,jazz,5
C:\SoundModel\data\gtzan\features\pop_pop.00052_chunk0.npy,pop,7
C:\SoundModel\data\gtzan\features\reggae_reggae.00098_chunk0.npy,reggae,8
C:\SoundModel\data\gtzan\features\metal_metal.00079_chunk1.npy,metal,6
C:\SoundModel\data\gtzan\features\disco_disco.00084_chunk0.npy,disco,3
C:\SoundModel\data\gtzan\features\metal_metal.00023_chunk0.npy,metal,6
C:\SoundModel\data\gtzan\features\classical_classical.00082_chunk2.npy,classical,1
C:\SoundModel\data\gtzan\features\disco_disco.00021_chunk1.npy,disco,3
C:\SoundModel\data\gtzan\features\pop_pop.00065_chunk2.npy,pop,7
C:\SoundModel\data\gtzan\features\pop_pop.00088_chunk2.npy,pop,7
